name,mode,native_vlan,allowed_vlans,access_vlan,voice_vlan,portfast,bpduguard,portsecurity,description
GigabitEthernet1/0/1,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/2,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/3,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/4,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/5,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/6,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/7,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/8,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/9,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/10,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/11,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/12,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/13,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/14,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/15,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/16,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/17,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/18,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/19,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/20,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/21,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/22,access,,,200,300,yes,yes,no,
GigabitEthernet1/0/23,access,,,200,300,yes,yes,yes,
GigabitEthernet1/0/24,access,,,200,300,yes,yes,no,
TenGigabitEthernet1/1/1,channel-group 1 mode active,,,,,no,,,Uplink to Core
TenGigabitEthernet1/1/2,channel-group 1 mode active,,,,,no,,,Uplink to Core
TenGigabitEthernet1/1/3,trunk,100,all,,,no,,,
TenGigabitEthernet1/1/4,trunk,100,all,,,no,,,
TenGigabitEthernet1/1/5,trunk,100,all,,,no,,,
TenGigabitEthernet1/1/6,trunk,100,all,,,no,,,
TenGigabitEthernet1/1/7,trunk,100,all,,,no,,,
TenGigabitEthernet1/1/8,trunk,100,all,,,no,,,
